question,ground_truth,generated_answer,score,response_time,sources
What is Single-Cell Protein (SCP)?,Protein extracted from microbial biomass like Spirulina or Quorn fungi," Single-Cell Protein (SCP) refers to the protein extracted from cultivated microbial biomass, such as Spirulina (algae) or Quorn (fungi). It contains up to 70% protein and requires 99% less land and water than beef production, making it a sustainable solution for global protein malnutrition.",9.0,7.03,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is HACCP?,Hazard Analysis and Critical Control Points — a food safety system," HACCP stands for Hazard Analysis and Critical Control Points. It is a systematic, science-based approach to ensuring food safety by identifying, evaluating, and controlling biological, chemical, and physical hazards in the production process that could cause illness or injury. This method allows industries to detect and eliminate potential contamination points (Critical Control Points) within their facilities to maintain high-quality, safe products throughout the global supply chain.",10.0,7.33,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is functional food?,Food that provides health benefits beyond basic nutrition," Functional foods are natural or processed foods that provide health benefits beyond basic nutrition, because they contain bioactive compounds such as probiotics, antioxidants, fibers, omega-3 fatty acids, vitamins, and phytochemicals that help prevent disease. Examples include probiotic curd/yogurt, oats, fortified milk, whole grains, millets, and dark leafy greens like kale and spinach. These foods can improve gut health, reduce cholesterol levels, manage existing conditions, or help prevent chronic diseases. They are also referred to as functional food ingredients.",9.0,8.95,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is Zero Trust Architecture?,A security model that restricts system access based on continuous verification," Zero Trust Architecture is a cybersecurity strategy that requires all users, devices, and networks to be verified and authenticated before granting access. It assumes that any threat could come from inside or outside the network and therefore verifies every connection request regardless of its origin. This approach restricts access based on verification rather than location or trust in the source.",8.0,6.4,['Abdul Kareem K Cyber Security Case Study']
What is network segmentation?,Dividing a network into isolated segments to limit malware spread," Network segmentation is a strategy that divides a large network into smaller sub-networks or segments. This isolation helps limit the spread of malware if one part of the network is compromised, as communication between segments is restricted and controlled. By doing so, it reduces the potential damage from cyber threats such as ransomware attacks.",9.0,7.01,['NS Case Study AK']
What is patch management?,Regularly updating software with security fixes to close known vulnerabilities," Patch management ensures that all systems, including legacy software, are regularly updated to fix known vulnerabilities, reducing the risk of exploitation.",9.0,4.38,['NS Case Study AK']
What does FSSAI stand for?,Food Safety and Standards Authority of India, Food Safety and Standards Authority of India (FSSAI),10.0,5.15,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is the Gut-Brain Axis?,A communication network between the digestive tract and the brain influenced by gut microbiota," The Gut-Brain Axis refers to a communication network between the digestive tract and the brain. It maintains a healthy microbial balance, which is linked to improved mood, reduced anxiety, and a stronger immune system (as 70% of immune cells reside in the gut). This connection is established through probiotics found in foods like yogurt, kefir, and sauerkraut.",8.0,8.15,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is Total Viable Count (TVC)?,"The total bacterial population capable of aerobic growth, used as a food hygiene indicator"," Total Viable Count (TVC) refers to the overall population of aerobic bacteria in a given sample or food product. It reflects the level of microbial contamination that can lead to spoilage and potential health risks, such as temperature abuse or poor sanitation. A high TVC suggests a breakdown in hygiene practices or improper storage conditions. In raw materials like seafood, it acts as a shelf-life estimator, providing an early warning before sensory changes become obvious. A consistently low TVC confirms that the operation maintains strong hygienic barriers from farm to processing floor.",8.0,8.39,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is a nanoemulsion?,A stable oil-water mixture with nano-sized droplets that improves food texture and nutrient absorption," A nanoemulsion is a stable mixture of oil and water where the droplets are reduced to the nanometer scale. These tiny droplets create a smoother, creamier mouthfeel and can make low-fat products taste as rich as full-fat versions. Because the droplets are so small, nanoemulsions also prevent ""creaming"" or separation, maintaining a consistent texture over time.",9.0,8.26,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is nano-encapsulation in food?,Packaging bioactive nutrients inside nano-sized carriers to protect and improve absorption," Nano-encapsulation in food involves packaging bioactive compounds, such as vitamins, minerals, or omega-3 fatty acids, inside a nano-sized carrier like a lipid or polymer shell. This technology protects sensitive nutrients from heat and stomach acid, ensuring they reach specific parts of the digestive tract. It also masks unpleasant tastes and increases the bioavailability of the nutrients within the body. Nano-encapsulation improves nutrient stability and bioavailability by reducing particle size, increasing surface area for faster dissolution in the gut, and providing a protective barrier against external factors such as oxidation, heat, light, and pH fluctuations.",10.0,10.83,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is water activity in food?,A measure of available water for microbial growth; high water activity leads to faster spoilage," Water activity ($a_w$) in food refers to the amount of ""free"" water available for reactions. It measures the availability of water that microorganisms can use for growth and chemical reactions. Foods with high water activity (like fresh meat) spoil faster than low water activity foods (like dried crackers).",9.0,6.69,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is an Advanced Persistent Threat?,A long-term targeted cyberattack where intruders remain undetected in a network," An Advanced Persistent Threat (APT) is a type of cyber attack that uses sophisticated techniques over an extended period to infiltrate and remain undetected within a computer system or network. These attacks are often well-resourced, targeted, and state-sponsored, making them highly persistent and difficult to detect. In the provided context, the attack on the medical institution suggests the possibility of an APT due to its scale, precision, and potential foreign involvement.",9.0,7.15,"['Abdul Kareem K Cyber Security Case Study', 'NS Case Study AK']"
What is cyber resilience?,"The ability to prevent, detect, respond to, and recover from cyberattacks with minimal disruption"," Cyber resilience focuses on prevention, detection, response, and recovery. It ensures that systems are designed to continue operating even during attacks, minimizing disruption and facilitating faster recovery from cyber incidents.",9.0,5.76,['NS Case Study AK']
When did WannaCry attack begin?,"May 12, 2017"," The WannaCry attack began on May 12, 2017.",10.0,5.2,"['NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK', 'NS Case Study AK']"
What does ATP stand for?,Adenosine Triphosphate — the primary energy currency of cells," ATP stands for Adenosine Triphosphate. It's the primary energy currency of the cell, used to fuel various metabolic processes including muscle contraction, nerve impulses, and synthesis of proteins, nucleic acids, and lipids.",10.0,6.2,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is the role of iron in the body?,Iron is a component of hemoglobin that carries oxygen from lungs to body cells," Iron is a vital trace mineral primarily known for its central role in oxygen transport within the body. It acts as an essential component of hemoglobin, a protein found in red blood cells, which binds and delivers oxygen from our lungs to every tissue and cell throughout the body. Insufficient iron leads to anemia and fatigue due to impaired oxygen supply. In addition, iron is also a component of myoglobin, which stores oxygen in muscle cells for energy during exertion.",10.0,8.06,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What are nanosensors in food?,Devices that detect pathogens or spoilage in food at very low concentrations," Nanosensors in food are highly sensitive devices that can detect the presence of pathogens, toxins, or chemical contaminants in food at extremely low concentrations. They work by identifying specific biological markers or gases (like those produced by rotting meat) and providing a visible color change or electronic signal for real-time monitoring of food freshness throughout distribution. Examples of nanosensors include Time-Temperature Integrators (TTIs) and Freshness Sensors.",8.0,8.52,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
What is active nanocomposite packaging?,Packaging that actively releases antimicrobials or scavenges oxygen to extend food shelf life," Active nanocomposite packaging refers to materials that do more than just provide a passive barrier; they interact dynamically with the food or the environment. These composites contain nanoparticles that can actively scavenge oxygen, absorb moisture, or release antimicrobial agents over time. This interaction significantly extends the shelf life of perishable items like meat and produce.",8.0,7.61,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
Which IP addresses were traced in AIIMS attack?,IP addresses located in China, Traced to IP addresses located in China.,10.0,3.63,['Abdul Kareem K Cyber Security Case Study']
What is the role of Vitamin D in bone health?,"Vitamin D helps the body absorb calcium to build strong, healthy bones"," It helps the body absorb calcium to build strong, healthy bones.",10.0,4.97,"['FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3', 'FNH unit 1,2,3']"
